TRACT1,TRACT2
27003051101,27003051201
27003051101,27053026815
27003051201,27003051206
27003051201,27053020200
27003051201,27053026815
27003051206,27053000102
27003051206,27053020200
27003051206,27053020500
27003051206,27053020600
27003051206,27053100500
27053000101,27053000102
27053000101,27053020400
27053000101,27053020500
27053000101,27053100200
27053000102,27053020500
27053000102,27053100200
27053000102,27053100400
27053000102,27053100500
27053000300,27053021200
27053000300,27053100200
27053000300,27053100400
27053000300,27053100700
27053002200,27053101600
27053002200,27053102100
27053002200,27053102300
27053002200,27053102900
27053002700,27053003200
27053002700,27053021700
27053002700,27053102000
27053002700,27053102800
27053003200,27053003300
27053003200,27053021700
27053003200,27053021800
27053003200,27053104100
27053003300,27053102800
27053003300,27053103400
27053003300,27053104100
27053020200,27053020301
27053020200,27053020304
27053020200,27053020400
27053020200,27053020500
27053020200,27053020600
27053020200,27053026811
27053020200,27053026814
27053020200,27053026815
27053020301,27053020302
27053020301,27053020304
27053020301,27053026810
27053020301,27053026811
27053020302,27053020303
27053020302,27053026810
27053020302,27053026819
27053020303,27053020304
27053020303,27053020400
27053020303,27053020700
27053020303,27053026809
27053020304,27053020400
27053020400,27053020500
27053020400,27053020700
27053020400,27053021100
27053020400,27053021200
27053020400,27053100200
27053020500,27053020600
27053020700,27053020801
27053020700,27053020804
27053020700,27053020903
27053020700,27053021100
27053020700,27053026807
27053020700,27053026809
27053020801,27053020804
27053020801,27053021501
27053020801,27053021502
27053020801,27053026807
27053020804,27053020903
27053020804,27053021502
27053020804,27053021503
27053020902,27053020903
27053020902,27053021001
27053020902,27053021100
27053020902,27053021504
27053020903,27053021100
27053020903,27053021503
27053021001,27053021002
27053021001,27053021300
27053021001,27053021400
27053021001,27053021504
27053021001,27053021505
27053021001,27053021700
27053021002,27053021505
27053021002,27053021602
27053021002,27053021700
27053021100,27053021200
27053021100,27053021300
27053021200,27053021300
27053021200,27053021400
27053021200,27053100200
27053021200,27053100700
27053021200,27053101300
27053021300,27053021400
27053021400,27053021700
27053021400,27053102000
27053021501,27053021502
27053021501,27053026508
27053021501,27053026807
27053021502,27053021503
27053021502,27053026508
27053021503,27053021504
27053021503,27053026510
27053021504,27053021505
27053021504,27053026511
27053021505,27053021601
27053021505,27053021602
27053021505,27053026512
27053021601,27053021602
27053021601,27053021900
27053021601,27053026507
27053021601,27053026512
27053021602,27053021700
27053021602,27053021800
27053021602,27053021900
27053021700,27053021800
27053021700,27053102000
27053021800,27053021900
27053021800,27053104100
27053021900,27053026507
27053026505,27053026507
27053026505,27053026509
27053026505,27053026512
27053026505,27053026514
27053026507,27053026512
27053026507,27053026514
27053026507,27053026609
27053026508,27053026509
27053026508,27053026510
27053026508,27053026612
27053026508,27053026712
27053026508,27053026713
27053026508,27053026715
27053026509,27053026510
27053026509,27053026512
27053026509,27053026612
27053026510,27053026511
27053026511,27053026512
27053026514,27053026609
27053026514,27053026611
27053026514,27053026612
27053026514,27053026613
27053026605,27053026606
27053026605,27053026610
27053026605,27053026611
27053026605,27053026613
27053026605,27053027101
27053026606,27053026610
27053026606,27053027101
27053026606,27053027201
27053026609,27053026610
27053026609,27053026611
27053026610,27053026611
27053026611,27053026613
27053026612,27053026613
27053026612,27053026715
27053026613,27053026715
27053026613,27053027101
27053026710,27053026711
27053026710,27053026712
27053026710,27053026713
27053026710,27053026807
27053026711,27053026712
27053026711,27053026715
27053026711,27053026716
27053026712,27053026713
27053026713,27053026807
27053026715,27053026716
27053026715,27053027101
27053026715,27053027102
27053026807,27053026809
27053026807,27053026816
27053026807,27053026818
27053026809,27053026818
27053026809,27053026819
27053026810,27053026811
27053026810,27053026816
27053026810,27053026819
27053026811,27053026814
27053026814,27053026815
27053026816,27053026818
27053026816,27053026819
27053026818,27053026819
27053027001,27053027002
27053027001,27053027102
27053027001,27171100900
27053027001,27171101000
27053027002,27053027101
27053027002,27053027201
27053027002,27171101000
27053027101,27053027102
27053027101,27053027201
27053027201,27053027202
27053100200,27053100400
27053100400,27053100500
27053100400,27053100800
27053100400,27053100900
27053100500,27053100900
27053100700,27053100800
27053100700,27053101300
27053100800,27053100900
27053100800,27053125700
27053100900,27053101600
27053100900,27053125700
27053101300,27053102000
27053101300,27053102100
27053101300,27053125700
27053101600,27053102100
27053101600,27053102300
27053101600,27053125700
27053102000,27053102800
27053102100,27053102800
27053102100,27053102900
27053102100,27053125700
27053102300,27053102900
27053102300,27053126200
27053102800,27053102900
27053102800,27053103400
27053102900,27053103400
27053103400,27053104100
27053103400,27053126200
27053104100,27053126200
27171100900,27171101000
